xf,lnx,lnq
10.264828496758735,-18,0.3
11.733116266358913,-18,0.8
13.616198246778996,-18,1.3
16.0312914996367,-18,1.8
19.12883042101024,-18,2.3
23.10187598309673,-18,2.8
28.19819455890001,-18,3.3
34.73576312980228,-18,3.8
43.122672543850996,-18,4.3
53.88267628762634,-18,4.8
67.68798626459265,-18,5.3
85.4013715534949,-18,5.8
108.13019956955387,-18,6.3
137.29580807941815,-18,6.8
174.72255812923066,-18,7.3
222.7521524759614,-18,7.8
284.3903890362631,-18,8.3
363.4955536470759,-18,8.8
465.0202687656721,-18,9.3
595.3219685724646,-18,9.8
10.11454666304385,-17.8,0.3
11.540043697005046,-17.8,0.8
13.368172449875052,-17.8,1.3
15.712693176070939,-17.8,1.8
18.719601345971565,-17.8,2.3
22.576257840925216,-17.8,2.8
27.523109463566584,-17.8,3.3
33.86873404360347,-17.8,3.8
42.009152890719584,-17.8,4.3
52.45262092761829,-17.8,4.8
65.85144831934096,-17.8,5.3
83.04284835272054,-17.8,5.8
105.10137237909849,-17.8,6.3
133.4062193319996,-17.8,6.8
169.72764026738906,-17.8,7.3
216.33785608796896,-17.8,7.8
276.15344426219207,-17.8,8.3
352.91812442529243,-17.8,8.8
451.43740713697287,-17.8,9.3
577.8798238193693,-17.8,9.8
9.970249064798752,-17.6,0.3
11.354649135974,-17.6,0.8
13.129999020758063,-17.6,1.3
15.406738535382171,-17.6,1.8
18.32659930938352,-17.6,2.3
22.071466924721207,-17.6,2.8
26.8747572235079,-17.6,3.3
33.03601943096271,-17.6,3.8
40.939681066853716,-17.6,4.3
51.07910930954727,-17.6,4.8
64.08749682784274,-17.6,5.3
80.77750802326108,-17.6,5.8
102.19217097876874,-17.6,6.3
129.67020565704854,-17.6,6.8
164.9298842824919,-17.6,7.3
210.17668218578044,-17.6,7.8
268.2414696232539,-17.6,8.3
342.75791084345707,-17.6,8.8
438.39019617926414,-17.6,9.3
561.1253905414744,-17.6,9.8
9.831707128072646,-17.400000000000002,0.3
11.176638650981108,-17.400000000000002,0.8
12.901300069211448,-17.400000000000002,1.3
15.112941837443406,-17.400000000000002,1.8
17.949200032461754,-17.400000000000002,2.3
21.586700999445572,-17.400000000000002,2.8
26.25210701968374,-17.400000000000002,3.3
32.23629486436744,-17.400000000000002,3.8
39.91255552280748,-17.400000000000002,4.3
49.759955504270145,-17.400000000000002,4.8
62.3933237303398,-17.400000000000002,5.3
78.60174346388877,-17.400000000000002,5.8
99.39796202538193,-17.400000000000002,6.3
126.081815686882,-17.400000000000002,6.8
160.3216460639249,-17.400000000000002,7.3
204.25881269232343,-17.400000000000002,7.8
260.64185508084233,-17.400000000000002,8.3
332.998717268237,-17.400000000000002,8.8
425.8578354829965,-17.400000000000002,9.3
545.0319547317171,-17.400000000000002,9.8
9.698701766741394,-17.200000000000003,0.3
11.005730451627473,-17.200000000000003,0.8
12.681713251417008,-17.200000000000003,1.3
14.830837255744427,-17.200000000000003,1.8
17.58680475238682,-17.200000000000003,2.3
21.121190533149885,-17.200000000000003,2.8
25.65416995681089,-17.200000000000003,3.3
31.468289670248915,-17.200000000000003,3.8
38.92614364205882,-17.200000000000003,4.3
48.493061992215864,-17.200000000000003,4.8
60.766234368889464,-17.200000000000003,5.3
76.51209304632513,-17.200000000000003,5.8
96.71429880536212,-17.200000000000003,6.3
122.63533750134495,-17.200000000000003,6.8
155.8955887340904,-17.200000000000003,7.3
198.57482376073636,-17.200000000000003,7.8
253.34249648352605,-17.200000000000003,8.3
323.624997263803,-17.200000000000003,8.8
413.82035777749,-17.200000000000003,9.3
529.5738716190709,-17.200000000000003,9.8
9.571023066324617,-17.000000000000004,0.3
10.841654478857318,-17.000000000000004,0.8
12.47089123787536,-17.000000000000004,1.3
14.559978188778922,-17.000000000000004,1.8
17.238839332108917,-17.000000000000004,2.3
20.6741975472247,-17.000000000000004,2.8
25.079997579463345,-17.000000000000004,3.3
30.730785014978252,-17.000000000000004,3.8
37.97887927347877,-17.000000000000004,4.3
47.2764164835968,-17.000000000000004,4.8
59.20364339119891,-17.000000000000004,5.3
74.5052353402378,-17.000000000000004,5.8
94.13691444345143,-17.000000000000004,6.3
119.32528988640996,-17.000000000000004,6.8
151.64467139920282,-17.000000000000004,7.3
193.1156713004822,-17.000000000000004,7.8
246.33177694703602,-17.000000000000004,8.3
314.6218296413674,-17.000000000000004,8.8
402.2585981279034,-17.000000000000004,9.3
514.7265260567715,-17.000000000000004,9.8
9.448469987204186,-16.800000000000004,0.3
10.6841520187342,-16.800000000000004,0.8
12.268501211910328,-16.800000000000004,1.3
14.299936609998035,-16.800000000000004,1.8
16.904753418891936,-16.800000000000004,2.3
20.24501452835581,-16.800000000000004,2.8
24.528680466419196,-16.800000000000004,3.3
30.02261209020852,-16.800000000000004,3.8
37.069260390074874,-16.800000000000004,4.3
46.10808889927318,-16.800000000000004,4.8
57.70307085901891,-16.800000000000004,5.3
72.57798409888908,-16.800000000000004,5.8
91.66171544375506,-16.800000000000004,6.3
116.14641401673998,-16.800000000000004,6.8
147.5621384412062,-16.800000000000004,7.3
187.87267719442173,-16.800000000000004,7.8
239.59854911688336,-16.800000000000004,8.3
305.97489563658837,-16.800000000000004,8.8
391.1541645738981,-16.800000000000004,9.3
500.4662947539192,-16.800000000000004,9.8
9.330850087488564,-16.600000000000005,0.3
10.532975340762418,-16.600000000000005,0.8
12.07422439895318,-16.600000000000005,1.3
14.05030245647799,-16.600000000000005,1.8
16.584019651671262,-16.600000000000005,2.3
19.832963402154995,-16.600000000000005,2.8
23.999346903065437,-16.600000000000005,3.3
29.342650397154642,-16.600000000000005,3.8
36.19584687329419,-16.600000000000005,4.3
44.98622851113381,-16.600000000000005,4.8
56.26213855938336,-16.600000000000005,5.3
70.72728350293997,-16.600000000000005,5.8
89.28477555956816,-16.600000000000005,6.3
113.09366555724635,-16.600000000000005,6.8
143.6415093439545,-16.600000000000005,7.3
182.8375161974675,-16.600000000000005,7.8
233.13211830089003,-16.600000000000005,8.3
297.67045719770664,-16.600000000000005,8.8
380.4894101870384,-16.600000000000005,9.3
486.77051031982734,-16.600000000000005,9.8
9.217979265918494,-16.400000000000006,0.3
